video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=TKrS493X_Bg&pp=ygUMY3JlYXRpdmUgR0lT,/@esri_arcgis,ArcGIS,ArcGIS Pro Thematic Map Series Tutorial,2.9K,11 months,Learn how to make thematic map series in ArcGIS Pro. Learn more about Esri & ArcGIS: Website: https://www.esri.com ...,2025-04-23 03:15:01.727875
/watch?v=BupXUnlncxA&pp=ygUMY3JlYXRpdmUgR0lT,/@esri_arcgis,ArcGIS,What's New in ArcGIS® Maps for Adobe® Creative Cloud® 1.4,1.5K,5 years,This video is a preview of features and capabilities introduced at version 1.4 of ArcGIS Maps for Adobe Creative Cloud. Here we ...,2025-04-23 03:15:01.730613
/watch?v=_gVrT_2L_w4&pp=ygUMY3JlYXRpdmUgR0lT,/@esri_arcgis,ArcGIS,What's New in ArcGIS Maps for Adobe Creative Cloud 3.0 (2021),2.1K,3 years,"ArcGIS Maps for Adobe Creative Cloud Now Available The July 2021 release includes support for ArcGIS Enterprise, vector tile ...",2025-04-23 03:15:01.732372
/watch?v=oGgEq8m2xKU&pp=ygUMY3JlYXRpdmUgR0lT,/@esri_arcgis,ArcGIS,ArcGIS Maps for Adobe® Creative Cloud® - Content Tagging and Discovery,2.6K,7 years,This video shows you how to add the proper tags to your ArcGIS Online data and be able to use it ArcGIS Maps for Adobe® ...,2025-04-23 03:15:01.733608
/watch?v=1AT6a2u-DBI&pp=ygUMY3JlYXRpdmUgR0lT,/@esri_arcgis,ArcGIS,ArcGIS Maps for Adobe® Creative Cloud® - Adding data,2.9K,7 years,"Start here to learn how to add data into your Compilation window. For more information, visit ...",2025-04-23 03:15:01.735367
/watch?v=xNUENXz6tRQ&pp=ygUMY3JlYXRpdmUgR0lT,/@esri_arcgis,ArcGIS,Introduction to ArcGIS Maps for Adobe Creative Cloud,12K,4 years,ArcGIS Maps for Adobe Creative Cloud is an extension for Adobe Illustrator and Photoshop which allows designers and ...,2025-04-23 03:15:01.737601
/watch?v=zhnyA4xevHg&pp=ygUMY3JlYXRpdmUgR0lT,/@esri_arcgis,ArcGIS,ArcGIS Maps for Adobe® Creative Cloud® - Mapboard,2.2K,7 years,"Start here to learn the 3 ways of creating a Mapboard in it ArcGIS Maps for Adobe® Creative Cloud®. For more information, visit ...",2025-04-23 03:15:01.739620
/watch?v=ROu2yu7-Y5g&pp=ygUMY3JlYXRpdmUgR0lT,/@esri_arcgis,ArcGIS,What's New in ArcGIS Maps for Adobe Creative Cloud 1.3,2.1K,6 years,Big updates have arrived in the 1.3 release of Esri's ArcGIS® Maps for Adobe® Creative Cloud® and we've highlighted some of ...,2025-04-23 03:15:01.741564
/watch?v=zXMKHYIkSEk&pp=ygUMY3JlYXRpdmUgR0lT,/@cestrategies9034,CE Strategies,GIS and Mapping Services,169,5 years,"Using GIS technologies, we work with our clients to identify project needs and implement creative solutions. Our GIS staff are ...",2025-04-23 03:15:01.743567
/watch?v=g88hrFO7nQc&pp=ygUMY3JlYXRpdmUgR0lT,/@uspatial,U-Spatial,Adobe Creative Cloud for ArcGIS - Rebecca Barney,53,5 years,"Spatial Exchange presentation by Rebecca Barney on April 4, 2018. Sponsored by U-Spatial.",2025-04-23 03:15:01.745507
/watch?v=_TNPdk8voJo&pp=ygUMY3JlYXRpdmUgR0lT,/@esri_arcgis,ArcGIS,What's New in ArcGIS® Maps for Adobe® Creative Cloud® 1.2,2.5K,7 years,Exciting updates have arrived in the 1.2 release of Esri's ArcGIS® Maps for Adobe® Creative Cloud® and we've highlighted some ...,2025-04-23 03:15:01.747229
/watch?v=wH9uemWBeY0&pp=ygUMY3JlYXRpdmUgR0lT,/@esri_arcgis,ArcGIS,ArcGIS Maps for Adobe® Creative Cloud® - Content Styling and Sync,2.4K,7 years,Demonstrates the tools and workflows available in ArcGIS Maps for Adobe Creative Cloud app for styling and then syncing ...,2025-04-23 03:15:01.748996
/watch?v=6tlBqlz5Sg8&pp=ygUMY3JlYXRpdmUgR0lT,/@esri_arcgis,ArcGIS,ArcGIS Maps for Adobe® Creative Cloud® - Install and Getting Started (Photoshop),5.2K,7 years,Learn how to get started with ArcGIS Maps for Adobe® Creative Cloud® in Photoshop. This video shows how to acquire and ...,2025-04-23 03:15:01.750607
/watch?v=fFZOPDbQAhs&pp=ygUMY3JlYXRpdmUgR0lT,/@Regrid,Regrid,"#7 Kate Berg / @pokateo_ talks #GISChat, Her Creative Process, and Wrangling #MappyMeme",38,1 year,"In episode 7 of Living In The Map, Regrid CEO Jerry Paffendorf catches up with the map meme queen herself, ⁠Kate Berg aka ...",2025-04-23 03:15:01.751682
/watch?v=Nd_W9CNgrrA&pp=ygUMY3JlYXRpdmUgR0lT,/@EsriEvents,Esri Events,Enhancing Qualitative Social Science with GIS,5.5K,3 years,"While ArcGIS helps with an array of quantitative approaches, it also brings many capabilities for qualitative methodologies.",2025-04-23 03:15:01.753557
/shorts/dzOCmAJGEfM,/@the.creative.gis42,Creative Gis,"I LOVE, I LOVEEEE ♥️#repo #meme #drawing #robots #funnytiktok #disegno #fyp #viral",273,13 days,Purtroppo non posso mettere la musica adatta per il copyright ISCRIVETEVI AL CANALE!!! Sono una giovane ragazza che ...,2025-04-23 03:15:01.754644
/watch?v=RlmhPYhqbO0&pp=ygUMY3JlYXRpdmUgR0lT0gcJCX4JAYcqIYzv,/@esri_arcgis,ArcGIS,What's New in ArcGIS® Maps for Adobe® Creative Cloud® 1.5,1K,5 years,In this video we will briefly demonstrate examples of some of the new tools and features we have included in ArcGIS Maps for ...,2025-04-23 03:15:01.756237
/shorts/F1JfbOC9bQI,/@NDSpodcast,The NDS Show,🌍 ✅Geospatial Data EXPLAINED by GIS Expert #data #maps #shorts,2.1K,2 years,"In this video Nick explains Geospatial Data or Location Data used in deriving Geospatial Intelligence. Data comes in two formats, ...",2025-04-23 03:15:01.757342
/watch?v=VbFVQJxxM8c&pp=ygUMY3JlYXRpdmUgR0lT,/@gemseducation,GEMS Education,Inspiring Voices: Biota's Creative Exploration and Community in IB at GIS,139,1 year,Listen to Biota from South Africa as she talks about her incredible journey of joining the Netball team and experiencing a strong ...,2025-04-23 03:15:12.381578
/watch?v=1vy_obSoCs4&pp=ygUMY3JlYXRpdmUgR0lT,/@esri_arcgis,ArcGIS,What's New in ArcGIS® Maps for Adobe® Creative Cloud® 1.1,3.5K,7 years,Highlights the 1.1.0 release of Esri's ArcGIS® Maps for Adobe® Creative Cloud® new features including: Enterprise login support: ...,2025-04-23 03:15:12.383515
/shorts/fhKyx79JSuI,/@GmanGraffitiKings,👑 Gman GraFFiTi (NFT) KiNGS 👑 #DILLIGAF,👑 GIS A LICK 👑 Creative little Graffiti piece 👅 #Graffitiart #Graffiti #streetart #GmanGK,15K,1 month,"Graffiti Writer / Artist Scae, droppin a creative & innovative piece.",2025-04-23 03:15:12.384787
/watch?v=80Ud-9oZ9tE&pp=ygUMY3JlYXRpdmUgR0lT,/@esri_arcgis,ArcGIS,ArcGIS Maps for Adobe Creative Cloud: Ask the Experts Livestream,1K,4 years,"During Maps for Adobe Creative Cloud demos, our audiences always ask such wonderful questions. Sometimes these questions ...",2025-04-23 03:15:12.396469
/watch?v=3pg5hR-VrWE&pp=ygUMY3JlYXRpdmUgR0lT,/@EsriEvents,Esri Events,Esri 2016 FedGIS Plenary: GIS Cookoff Round 2,59,7 years,"Round 2 of the GIS Cookoff commences in a competition to see who can cook up the best ""bread,"" or survey. Jo Fraley and Thom ...",2025-04-23 03:15:12.397679
/watch?v=9nHkM7ZC3z8&pp=ygUMY3JlYXRpdmUgR0lT,/@GisaUA,GisaUA,GIS-Fest Ukraine 2018. Art,6,6 months,"The GIS-Association of Ukraine holds on October 12, 2018 within the framework of GIS-Fest Ukraine 2018 Fair ""Geographic ...",2025-04-23 03:15:12.398892
/watch?v=kIsI-LyZv0w&pp=ygUMY3JlYXRpdmUgR0lT,/@EsriEvents,Esri Events,ArcGIS StoryMaps: An Introduction,20K,3 years,Learn how to use the StoryMaps builder to bring your content to life. You'll find it easier than ever to make beautiful and ...,2025-04-23 03:15:12.400433
/watch?v=N_dkcXHf9TI&pp=ygUMY3JlYXRpdmUgR0lT,/@esri_arcgis,ArcGIS,ArcGIS Maps for Adobe Creative Cloud: Game of Thrones,4.9K,6 years,"Game of Thrones Season 8 is approaching and to celebrate this day, we have created a free downloadable Game of Thrones ...",2025-04-23 03:15:12.409079
/watch?v=ie4TpVDYO3M&pp=ygUMY3JlYXRpdmUgR0lT,/@funnygissy,Gissy's Art Adventures,Sonic The Hedgehog Creative Play | Gis Makes a Cool Gold Ring Portal,3.9K,1 year,Gis makes a cool sonic gold ring portal. In the Sonic the Hedgehog 2 movie the characters uses a sonic ring portal to open a ...,2025-04-23 03:15:12.410397
/watch?v=RaVikhyidk8&pp=ygUMY3JlYXRpdmUgR0lT,/@GeaPedia,Gea Pedia,ArcGIS Series - What a GIS,2,1 year,What a GIS. A Geographic Information System (GIS) is a computer system that analyzes and displays geographically referenced ...,2025-04-23 03:15:12.411622
/watch?v=WpoSofhf9Y0&pp=ygUMY3JlYXRpdmUgR0lT,/@esrimaps,Esri,What is GIS?,60K,7 months,Chapters: 00:00 Intro & Various Sectors 01:07: GIS for Decision Making 04:03: GIS in Emergency & Engineering 07:07: GIS for ...,2025-04-23 03:15:12.413297
/watch?v=Iy-441t2iZw&pp=ygUMY3JlYXRpdmUgR0lT,/@esri_arcgis,ArcGIS,What's New in ArcGIS Maps for Adobe Creative Cloud (November 2020),2K,4 years,This video is a preview of features introduced at version 2.2 of ArcGIS Maps for Adobe Creative Cloud. Here we will demonstrate ...,2025-04-23 03:15:12.415031
/watch?v=2rSLyKFhiEc&pp=ygUMY3JlYXRpdmUgR0lT,/@EsriEvents,Esri Events,Analysis in ArcGIS Pro,4.4K,7 years,ArcGIS engineer Lauren Bennett demonstrates some creative and powerful ways to perform spatial analysis using ArcGIS Pro.,2025-04-23 03:15:12.422155
/watch?v=Y0OYkifCM18&pp=ygUMY3JlYXRpdmUgR0lT,/@nacis7166,NACIS,Cartography in Adobe Creative Suite - MAPublisher Advancements — Nick Burchell,310,7 years,Cartography in Adobe Creative Suite—MAPublisher Advancements Nick Burchell This presentation will provide an overview of ...,2025-04-23 03:15:12.423911
/watch?v=Q2YSQztJ3nI&pp=ygUMY3JlYXRpdmUgR0lT,/@chartographie,Charlie Lott,"How to Animate a Proportional Symbol Map Using Excel, ArcGIS Pro, and Adobe Creative Cloud",119,6 days,"Thanks for checking out my first tutorial on creating animated maps using Excel, ArcGIS Pro, and the Adobe Creative Cloud.",2025-04-23 03:15:12.425128
/watch?v=7KL1stVOOCU&pp=ygUMY3JlYXRpdmUgR0lT,/@esri_arcgis,ArcGIS,ArcGIS Maps for Adobe Creative Cloud: An Introduction (UC 2021),9.3K,3 years,The ArcGIS Maps for Adobe Creative Cloud plugin provides map designers an easy way to work with maps in graphic design ...,2025-04-23 03:15:12.426884
/watch?v=ybXfc30a5XM&pp=ygUMY3JlYXRpdmUgR0lT,/@geographywithdave3890,Geography with Dave,Geographic Information Systems (GIS) concepts simplified,214K,4 years,"Lesson content: * GIS * Remote sensing - Resolution, pixels * Spatial resolution * Spatial and attribute data * Vector and raster ...",2025-04-23 03:15:12.433633
/watch?v=YNtKnmRXVlo&pp=ygUMY3JlYXRpdmUgR0lT,/@Nicko16,Nicko16,Blender GIS,1.9M,5 years,In this video I show you how to import a height map and buildings using the brilliant Blender GIS. You can download Blender GIS ...,2025-04-23 03:15:12.435303
/watch?v=DlLTcXzb4z4&pp=ygUMY3JlYXRpdmUgR0lT,/@ESRIUK1,Esri UK,Getting creative with your Creator license webinar,375,1 year,"Gain inspiration and discover how to maximise the value of your Creator license, whether you are using ArcGIS Online or ArcGIS ...",2025-04-23 03:15:22.845972
/watch?v=BdbCUMCJ_0M&pp=ygUMY3JlYXRpdmUgR0lT,/@esri_arcgis,ArcGIS,ArcGIS Maps for Adobe® Creative Cloud® - Install and Getting Started (Illustrator),17K,7 years,Learn how to get started with ArcGIS Maps for Adobe® Creative Cloud® in Illustrator. This video shows how to acquire and install ...,2025-04-23 03:15:22.849238
/watch?v=-u1m2DCsER0&t=11s&pp=ygUMY3JlYXRpdmUgR0lT0gcJCX4JAYcqIYzv,/@geographyminute,Mr. Middleton,What are some uses for GIS?,152,5 years,I wanted to add to my GIS videos by giving you a couple of ways GIS can be used. All images used are public domain; licensed ...,2025-04-23 03:15:22.851349
/shorts/VRgxh4UetOM,/channel/UCnU9c8lf6Cvfz8VkD4fxbVQ,Avanti Nagral,what it’s like to work at GOOGLE…,2.6M,2 years,Here's a glimpse of what it's like to work at Google - it was great to see an emphasis on community spaces & recreation! Subscribe ...,2025-04-23 03:15:22.852597
/watch?v=EhE55ZtrJlk&pp=ygUMY3JlYXRpdmUgR0lT,/@esri_arcgis,ArcGIS,Make a layout in ArcGIS Pro,204K,2 years,"See how to make a layout in ArcGIS Pro. You'll also see how to add guides to a layout, add an overview map and extent indicator, ...",2025-04-23 03:15:22.854569
