article_text,article_link,collected_at
Xi announces plan for Chinese economy to counter impact of US trade war,/world/2025/apr/25/xi-announces-plan-chinese-economy-us-trade-war,2025-04-26 04:50:25.200103
Brazil’s former president arrested and ordered to begin prison sentence,/world/2025/apr/25/brazil-fernando-collor-arrested,2025-04-26 04:50:25.200127
From ammunition to ballistic missiles: how North Korea arms Russia in the Ukraine war,/world/2025/apr/25/how-north-korea-arms-russia-in-ukraine-war,2025-04-26 04:50:25.200167
Rupert Murdoch’s company ‘actively frustrated’ phone-hacking investigation,/media/2025/apr/25/rupert-murdoch-company-ngn-actively-frustrated-met-phone-hacking-investigation-will-lewis,2025-04-26 04:50:25.200189
Lifesize herd of puppet animals begins climate action journey from Africa to Arctic Circle,/global-development/2025/apr/25/puppet-herd-animals-climate-crisis-africa-arctic-circle-little-amal,2025-04-26 04:50:25.200223
Santa Maria Maggiore: why Pope Francis decided ‘this is my place’ to be buried,/world/2025/apr/25/santa-maria-maggiore-why-pope-francis-buried,2025-04-26 04:50:25.200257
"Sydney woman who sold a cartoon cat T-shirt told to pay $100,000 in Grumpy Cat copyright case",/australia-news/2025/apr/26/sydney-woman-who-sold-a-cartoon-cat-t-shirt-told-to-pay-us100000-in-grumpy-cat-copyright-case,2025-04-26 04:50:25.200283
Calls for inquiry after German police kill black man outside nightclub,/world/2025/apr/25/calls-inquiry-german-police-kill-black-man-outside-nightclub,2025-04-26 04:50:25.200311
North Yorkshire’s film-star stately home set to earn its keep by hosting paying guests,/artanddesign/2025/apr/25/north-yorkshires-film-star-castle-set-to-earn-its-keep-by-hosting-paying-guests,2025-04-26 04:50:25.200333
Vatican readies for Pope Francis’s funeral as world leaders head to Rome,/world/2025/apr/25/pope-francis-funeral-preparations-vatican,2025-04-26 04:50:25.200358
In search of the South Pacific fugitive who crowned himself king – podcast,/news/audio/2025/apr/25/in-search-of-the-south-pacific-fugitive-who-crowned-himself-king-podcast,2025-04-26 04:50:25.200385
The rule of law in Trump’s America and what it means for Mel Gibson’s guns – podcast,/politics/audio/2025/apr/25/the-rule-of-law-in-trumps-america-and-what-it-means-for-mel-gibsons-guns-podcast,2025-04-26 04:50:25.200410
‘They excavated a nightclub!’: uncovering Black British history beyond London – podcast ,/news/audio/2025/apr/25/they-excavated-a-nightclub-uncovering-black-british-history-beyond-london-podcast,2025-04-26 04:50:25.200440
"Liverpool’s title chance, the FA Cup semis … and walkers – Football Weekly Extra",/football/audio/2025/apr/24/liverpools-title-chance-the-fa-cup-semis-and-walkers-football-weekly-extra-podcast,2025-04-26 04:50:25.200471
"Evidence of alien life, a clue about the rise of bowel cancer, and a new colour? – podcast",/science/audio/2025/apr/24/evidence-of-alien-life-a-clue-about-the-rise-of-colon-cancer-and-a-new-colour-podcast,2025-04-26 04:50:25.200503
‘I miss those days terribly’: readers share their defining video store memories,/film/2025/apr/25/video-store-rental-memories,2025-04-26 04:50:25.200530
Pedro Pascal calls JK Rowling a ‘heinous loser’ in wake of UK supreme court gender ruling,/film/2025/apr/25/pedro-pascal-calls-jk-rowling-harry-potter-supreme-court-gender-ruling,2025-04-26 04:50:25.200556
Bill Maher calls Larry David’s satire of his Trump dinner ‘kind of insulting to 6 million dead Jews’,/tv-and-radio/2025/apr/25/bill-maher-calls-larry-davids-satire-of-his-trump-dinner-kind-of-insulting-to-6-million-dead-jews,2025-04-26 04:50:25.200585
Francis Ford Coppola unveils Megalopolis graphic novel,/film/2025/apr/25/francis-ford-coppola-unveils-megalopolis-graphic-novel,2025-04-26 04:50:25.200615
Can Predator: Badlands finally prove a shared universe with Alien was a good idea?,/film/2025/apr/25/predator-badlands-trailer-alien,2025-04-26 04:50:25.200643
Post your questions for Nicolas Cage,/film/2025/apr/25/post-your-questions-for-nicolas-cage-the-surfer,2025-04-26 04:50:25.200674
I went blind after doing 13 cartwheels in a row,/lifeandstyle/2025/apr/25/experience-i-went-blind-after-doing-13-cartwheels-in-a-row,2025-04-26 04:50:25.200703
"Arguing with your partner? Done the right way it can be a skill for couples, say therapists",/lifeandstyle/2025/apr/25/arguing-with-your-partner-done-the-right-way-it-can-be-a-skill-for-couples-say-therapists,2025-04-26 04:50:25.200731
From batik-making in Ghana to homestays in Kyrgyzstan: your top ethical trips,/travel/2025/apr/25/top-ethical-trips-readers,2025-04-26 04:50:25.200761
I have gap teeth. Should I fix them?,/global/2025/apr/23/gap-in-teeth-should-i-fix,2025-04-26 04:50:25.200793
